question,document_identifier
"###Server Model firmware###Poweredge M630 PowerEdge VRTX CMC firmware version 2.21###Config###Seven SAS HDDs configured as one virtual drive. Screenshot: PHY,VIRTUAL###Issue###SAS HDDs not recognized by Esxi 6.5 Only local disk appears in Storage of Esxi host. Screenshot: DATASTORERebooted the device,reinstalled Esxi but the drives are not recognized. Any thoughts on this? Need a driver to make it work ?Thank you. ",doc_0
"(hope i'm posting at the correct location)Hi guys,i got some PowerEdge R740 servers waiting for firmware update. My current firmware version is quite old, about 2 years ago.The components on these R740 are:(got from iDRAC)Power Supply.Slot.(PN:0Y26KXA02),Integrated Dell Remote Access Controller,Intel(R) Gigabit 4P I350-t Adapter,Intel(R) Ethernet 10G 4P X710 SFP+ rNDC,BIOS,Dell HBA330 Adp,SATASSD/SAS HDD,BP14G+ 0,Lifecycle Controller,Dell 64 Bit uEFI Diagnostics,Dell OS Driver Pack,OS COLLECTOR,iDRAC Service Module Installer,System CPLD For now, I could only find firmware updates for these components: iDRAC、BIOS、HBA adapter、SAS HDD、10G NIC、1G NIC、CPLD、Internal Dual SD Module, therefore, these are the only components gonna be updated. Just saw this recommended firmware update order: https://www.dell.com/support/kbdoc/zh-tw/000121875/dell-poweredge-update-server-firmware-for-optimal...However, I couldn't find the ""PERC"", ""powersupply"" or ""Chipset"" firmware, and not so sure about whether this applies to my R740 or not?I'm planning to update the firmware in the following sequence: iDRAC->HBA->10G NIC->1G NIC->BIOS->SAS HDD->SD Module->CPLD Note that the OS installed on my R740 server is ESXi 7. Can anyone give advice about the correctness of my update order please?thanks in advance!",doc_1
"*** all!I have some Dell PowerEdge R420 servers and i want to upgrade memory, install more..How to verify the installed memory type (ECC or no)?Output dmidecode here:drive.google.com/.../view",doc_2
"---This is my very first Server project. I am grateful for the chance to learn. I hope that my first post here may be useful to others, but it probably contains more questions than answers:---I found a great deal online for a used barebones R930 kit. I think it may have included much more than most barebones kits usually do.The kit was heavily discounted, because it had a damaged and unreadable LCD screen.I fixed the broken LCD with an inexpensive replacement part designed for R920 and that has worked fine.Vendor stated that it is only necessary to add CPU and Memory.---Barebones kit included:R930 chassis and motherboardpre-installed H730P RAID Controller with cablingpre-installed 16+8 HDD backplane with two daughter cardspre-installed Network Cardpre-installed 4x 1100 Watt Power Supplies with power cords8 x memory risersDVD-ROM---I purchased and installed used 8 x SNPCPC7GC/32G 32GB DDR4 2400MHz ECC RDIMM Memory (supported basis Dell Parts upgrade list for R930)I also purchased and installed used quad INTEL XEON E7-8890V4 ES PROCESSOR E7-8890 V4 60M Cache 24-core 2.20 GHz (supported basis Dell Parts upgrade list for R930)I purchased and installed used left-side cabling and right-side cabling for 8x PCIe NVM backplaneI purchased and installed only 1 used Samsung XS1715 1.6TB 2.5"" NVMe SSD DELL MZ-WEI1T60---On startup, I have observed that Dell R930 hangs at ""Initializing Intel QuickPath Interconnect"".iDRAC reports that BIOS 1.1.5 is preinstalled.---I hope that someone will correct me if I am wrong, but I will begin troubleshooting with the assumption that the existing BIOS 1.1.5 cannot support processors above Xeon E7 v3. My assumption is based on a common sense interpretation of release notes for BIOS v2.0.1, which announce new support for Xeon E7 v4 if I am not mistaken.If my assumption is correct, then it seems that I should upgrade the BIOS to version 2.0.1 in order to support the quad Xeon E7 8890 v4 processors which are currently installed on the R930 motherboard.Based on my reading of how to upgrade a BIOS, it seems that a system must be able to boot in order to upgrade a BIOS. Is that really true? It would be problematic in my case, because I would need to purchase unwanted Xeon v3 processors just to boot the system, simply to upgrade the BIOS, and then reinstall the desired Xeon v4 processors.---Any suggestions from the Community would be welcome. Thank you in advance for your time and consideration.---",doc_3
A 4-server VRTX was shipped to us that already was functioning properly in another facility. I am new to servers so not sure where to begin with understanding how to use it. I plugged in three network cables into it and it seemed to acquite a public IP address. I can log in to the chasis management console with this IP address from my laptop.I can see the four server have been assigned some local IP address like 192.168.0.121 . But obviously those aren't accessible from our network. How can I get the individual servers assigned a public IP address like the Chasis got?,doc_4
"A few hours ago, one of the nodes on a Dell C6100 4 node server stopped responding while I was actively working on it. After 5 hours of troubleshooting, here is what I have found...- No video output- Because there is no video output, the BIOS is not accessible- Cleared CMOS, same story- Reseated and shuffled all the RAM - nothing- Ping / traceroute timeoutHowever, the node is receiving power from the backplane. The IPMI ethernet port's activity lights turn on as soon as the node is plugged into the chassis and the blue indicator light appears when the indicator button is pressed on the front bezel. When the power button is pressed, the HDD lights go green and it spins up but the eth0 port still shows no activity. Essentially, the server is receiving power but does not boot with no signs of error LEDs or beeping errors.IPMI is accessible via the web however the event log only shows http://d.pr/i/pPK5 and power control via that interface fails as well.IPMI firmware: 1.22BIOS version: Not sure, can't access itIs this a bricked motherboard that should just be replaced?",doc_5
"A few months ago, I purchased a PowerEdge T320 with an H310 RAID controller and hot-plug chassis. Like a few other people in this forum, I am disappointed with the performance of the H310, and I am considering to upgrade it to the H710p. The H310 is a full-height PCIe card with two connectors which are cabled up to the hot-plug hard-drive chassis. I would appreciate it if somebody could advise the part number for the H710p-equivalent, so I can simply disconnect the H310 and remove it, and then insert the H710p in its place with the same connectors etc and then import foreign config.Thanks in advance",doc_6
"A friend gave me an R730xd. It was working fine before he brought it here (I was logging in remotely to it). Something must have happened during transport, because now both power supplies are blinking amber and it won't power on. I know both power supplies didn't suddenly go bad, so it must be something else, but I have no idea what it could be. I tried re-seating everything I could, but that didn't help.Other symptoms: The middle fan briefly comes on and then turns off. The 4 Ethernet ports blink, but not the iDRAC8 port. I tried resetting the iDRAC8 using the info button, but I still can't ping it at 192.168.0.120.It's out of warranty and I don't want to spend a lot of money fixing it, but it would be a shame to throw it out.",doc_7
"A technician removed an expansion card riser (the only one) from the dual-CPU PowerEdge R630 server in our remote data center. The server now runs with no risers installed and reports critical health alert ""HWC2005 System board Riser cable or interconnect failure. Check connection"". VMware ESXi hypervisor which is installed on this server runs normally (apparently).Owner's manual says: ""A System Event Log (SEL) event is logged if an expansion card riser is unsupported or missing. It does not prevent your system from turning on and no BIOS POST message or F1/F2 pause is displayed.""Troubleshooting guide says: ""Typically, the minimum to POST configuration for rack servers is PSU1, CPU1, memory module in A1 slot, and the default riser without expansion cards"". To the best of my knowledge, this was true until and including 11G PowerEdge rack servers. It also contradicts the statement in the Owner's manual.However, neither manual gives an explanation about the eventual consequences of running a PowerEdge R630 server with no expansion card risers installed.So my question is, will the R630 run normally without any expansion card riser installed, i.e. is such a configuration supported by Dell ?",doc_8
ADD 4GB RDIMM MEMORY AND DO NOT RECOGNIZE ME WHAT PART NUMBER I CAN ADD 4GB UDIMM MEMORY,doc_9
"According to the following link:https://www.dell.com/support/manuals/en-us/poweredge-t440/pet440_ism_pub/system-health-and-system-id... What can ""i"" button do?  I click it once the health indicator will be blinking.  What are other functions?     ",doc_10
"According to this page https://www.dell.com/support/manuals/en-mk/poweredge-r750/per750_ism_pub/system-board-jumpers-and-co... the R750 has only 12 pin connectors for GPU power, the previous R740 has 8 pin GPU power connectors for each riser. How can we connect our FPGA card (using 6/8 pin GPU power cable from R740) in R750?",doc_11
"Added a couple reservations after ISP router defaulted (ISP pass through setting removed)...now DHCP list depopulated. No leases, reservations.or scope. Tried ""Authorizing"" ...returns.. service can't start.Manage Authorize Servers"" has ""The specified servers are already present in the directory service.dialog.""So, how do I restart DHCP and restore client access to domain?",doc_12
"After a long power outage, the accountant decided to turn on the server on her own.After pressing the button ""i"" and holding it for a little longer, she reset the settings iDRAC along with the license.How can I restore it now? The server was purchased in 2014. Service Tag <Service Tag was removed>. ",doc_13
"After a windows update (windows 2012 R2), i restarted the server and i couldn't connect with remote desktop.The server also couldn't see my monitor. I removed the CMOS battery and i finally got a view of the bios.But i also got the following message:""PXE:E53: No boot filename received.PXE-M0F: Exiting Broadcom PXE ROM.No boot device available.Current boot mode is set to BIOS."" I can see the hard disks in the BIOS.If i set the boot mode to UEFI, i can't see the hard disks!I also can't see any RAID options!",doc_14
"After power failure, the Dell PE R720 can't boot up automatically. Have to press power button manually to power on the server.Can Dell PE R720 auto power up automatically???Thank you.",doc_15
"After removing CPU2 and it's memory modules I got this message:UEFI0147The system hardware or cabling configuration is invalid.Do the following: 1) Make sure the system cables, risers, and CPU configuration are installed correctly. 2) Reseat each PCIe riser and reconnect the cables. For more information, see the system Owner's Manual.I cleared NVRAM, but the message is still there. What I managed to get is to boot into system by disabling wait for F1/F2 on error.Is there a way to get rid of this message other than putting back CPU2?PowerEdge R640",doc_16
"After replaced Nvidia NVS 300 with Quadro 4000 in PowerEdge T320,boot is normal, but it's not possible display eny of menu(F2, F10, F11...). I can't find out what is problem??",doc_17
"After resetting R420 DRAC to default, its Enterprise License is gone. Unfortunately, we never did a backup, and visiting the Digital Locker asks us for a registration code that we don't have. Any ideas on how to get this solved? Thx",doc_18
"After switching a Perc6i from a R710 to a R610 I realize I need new cables, which look to be RF5PF for SAS 0 and FTTNX for SAS 1. My question is can I use 2 FTTNX instead? Will they be long enough to reach from SAS 0? ",doc_19
"After the change, the server boots, and the Driver Health Protocol Utility pops up and wants input (see below). What is needed here? F1 didn't help.Best regardsSassan Karai ",doc_20
"After updating Windows Server 2012 r2 on our server (DELL PowerEdge T330), after the restart, a ""No boot device available"" error message appeared and booting did not resume. :smileysad:Before the update, our server was working fine.What is the solution? Please somebody help me.",doc_21
"After updating the iDRAC(express) to 2.9 and the Lifecycle controler to 1.7.5.4 (prior was 1.2 on the iDrac).  I have started getting the system to log this error and it powers off, which is expected if it is overheating.I have been unable to locate information about the IOH1 if it is on the CPU or system board and if the 1 in the log referring to CPU1.Current config: 2x x5675 processors with 192gb ram, perc h700 with 8 drives, 2x 1100w power suppliesAny help is appreciated .",doc_22
